path,label,source_label,group_id,source_index,is_augmented,split
ANGULARITY/001.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:001,001,false,train
ANGULARITY/101.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:001,001,true,train
ANGULARITY/002.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:002,002,false,train
ANGULARITY/102.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:002,002,true,train
ANGULARITY/003.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:003,003,false,train
ANGULARITY/103.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:003,003,true,train
ANGULARITY/004.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:004,004,false,train
ANGULARITY/104.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:004,004,true,train
ANGULARITY/005.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:005,005,false,test
ANGULARITY/105.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:005,005,true,test
ANGULARITY/006.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:006,006,false,train
ANGULARITY/106.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:006,006,true,train
ANGULARITY/007.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:007,007,false,test
ANGULARITY/107.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:007,007,true,test
ANGULARITY/008.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:008,008,false,test
ANGULARITY/108.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:008,008,true,test
ANGULARITY/009.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:009,009,false,val
ANGULARITY/109.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:009,009,true,val
ANGULARITY/010.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:010,010,false,test
ANGULARITY/110.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:010,010,true,test
ANGULARITY/011.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:011,011,false,train
ANGULARITY/111.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:011,011,true,train
ANGULARITY/012.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:012,012,false,test
ANGULARITY/112.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:012,012,true,test
ANGULARITY/013.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:013,013,false,test
ANGULARITY/113.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:013,013,true,test
ANGULARITY/014.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:014,014,false,train
ANGULARITY/114.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:014,014,true,train
ANGULARITY/015.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:015,015,false,train
ANGULARITY/115.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:015,015,true,train
ANGULARITY/016.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:016,016,false,val
ANGULARITY/116.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:016,016,true,val
ANGULARITY/017.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:017,017,false,train
ANGULARITY/117.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:017,017,true,train
ANGULARITY/018.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:018,018,false,train
ANGULARITY/118.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:018,018,true,train
ANGULARITY/019.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:019,019,false,train
ANGULARITY/119.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:019,019,true,train
ANGULARITY/020.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:020,020,false,test
ANGULARITY/120.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:020,020,true,test
ANGULARITY/021.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:021,021,false,train
ANGULARITY/121.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:021,021,true,train
ANGULARITY/022.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:022,022,false,train
ANGULARITY/122.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:022,022,true,train
ANGULARITY/023.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:023,023,false,train
ANGULARITY/123.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:023,023,true,train
ANGULARITY/024.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:024,024,false,train
ANGULARITY/124.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:024,024,true,train
ANGULARITY/025.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:025,025,false,train
ANGULARITY/125.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:025,025,true,train
ANGULARITY/026.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:026,026,false,train
ANGULARITY/126.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:026,026,true,train
ANGULARITY/027.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:027,027,false,train
ANGULARITY/127.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:027,027,true,train
ANGULARITY/028.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:028,028,false,test
ANGULARITY/128.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:028,028,true,test
ANGULARITY/029.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:029,029,false,val
ANGULARITY/129.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:029,029,true,val
ANGULARITY/030.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:030,030,false,train
ANGULARITY/130.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:030,030,true,train
ANGULARITY/031.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:031,031,false,val
ANGULARITY/131.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:031,031,true,val
ANGULARITY/032.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:032,032,false,train
ANGULARITY/132.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:032,032,true,train
ANGULARITY/033.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:033,033,false,train
ANGULARITY/133.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:033,033,true,train
ANGULARITY/034.png,ANGULARITY,ANGULARITY,ANGULARITY:ANGULARITY:034,034,false,train
